"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1027;CCRLX;m2;78,75;63,99;59,06;88,60;98,44;ZIGZAGNG;"ZIG ZAG ROULEAU GROOVE NG";98,44;
1028;TEXTTAPIS;PIECE;8,82;7,17;6,62;9,93;11,03;AURILLAC608002;"AURILLAC GRIS CHINÉ - 60x80cm - Ep.6mm";11,03;
1029;TEXTTAPIS;PIECE;8,82;7,17;6,62;9,93;11,03;AURILLAC608010;"AURILLAC MARRON - 60x80cm - Ep.6mm";11,03;
102;CCTAPIS;PIECE;71,02;57,71;53,27;79,90;88,78;MPR24;"MPR24 CAILLEBOTIS NITRILE ROUGE - 91x152cm - Ep.14mm";88,78;
1030;CCTAPIS;PIECE;299,43;243,29;224,57;336,86;374,29;QUIETA+NG1150CLIP;"QUIETA+ NG TAPIS D'ETABLE CLIPSABLE - 115x185cm - Ep.50mm";374,29;
1031;CCTAPIS;PIECE;302,33;245,64;226,75;340,12;377,91;QUIETA+NG1200CLIP;"QUIETA+ NG TAPIS D'ETABLE CLIPSABLE - 120x185cm - Ep.50mm";377,91;
1032;CCTAPIS;PIECE;312,42;253,84;234,31;351,47;390,52;QUIETA+NG1250CLIP;"QUIETA+ NG TAPIS D'ETABLE CLIPSABLE - 125x185cm - Ep.50mm";390,52;
1033;CCRLX;m2;42,16;34,26;31,62;47,43;52,70;M69MINIRL1X10;"M69 MINI ROULEAU CAILLEBOTIS NOIR - 1x10m - Ep.10mm";52,70;
1034;CCRLX;m2;113,82;92,48;85,37;128,05;142,28;DELINEIGE8GMN;"DELINEIGE CFL-S1 ROULEAU GRIS MOYEN/NOIR - 1.25x15m - Ep.8mm";142,28;
1035;CCRLX;m2;53,17;43,20;39,88;59,81;66,46;SPORTNEIGE10GFN;"SPORTNEIGE EFL ROULEAU GRIS FONCE/NOIR - 1.50x12m - Ep.10mm";66,46;
