REF;DESIGN;POIDS;UNITE;CATEGORIE;PRIX;ECOTAXE;NOTE;SCORE;IMAGE;URL
BLA5;C/C BLACK STAR ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;ACCESSOIRE;365.360000;0.300000;A;https://sevetys.fr/_next/image/?url=https%3A%2F%2Fcharming-angel-5ca83bf286.media.strapiapp.com%2FChat_europeen_573af6e71d.webp&w=1920&q=75
MB46PR;MB46 DALLE CONNECTABLE NITRILE ROUGE - 91x91cm - Ep.14.5mm;8.240000;1;CCDAL;54.430000;0.460000;NULL;NULL
MPB80;MPB80 TAPIS ERGONOMIQUE C/C NITRILE NOIR - 30x80cm - Ep.16mm ;2.680000;1;CCTAPIS;72.800000;0.190000;NULL;NULL
MPB82;MPB82 TAPIS ERGONOMIQUE C/C NITRILE NOIR - 60x90cm - Ep.16mm ;5.340000;1;CCTAPIS;142.100000;0.460000;NULL;NULL
NT415B612290;NT415 ROULEAU ANTIFATIGUE NOIR - 0.61x22.90m - Ep.14.3mm;3.490000;2;PLARLX;58.700000;0.460000;NULL;NULL
NT415B612290COUP;NT415 ROULEAU ANTIFATIGUE NOIR - Larg 0.61m - Ep.14.3mm - coupe/ml ;3.490000;2;PLARLX;76.300000;0.460000;NULL;NULL
NT415B912290;NT415 ROULEAU ANTIFATIGUE NOIR - 0.91x22.90m - Ep.14.3mm;5.210000;2;PLARLX;87.750000;0.460000;NULL;NULL
NT415BY1222290;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - 1.22x22.90m - Ep.14.3mm;6.990000;2;PLARLX;115.430000;0.460000;NULL;NULL
NT415BY1222290COUP;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - Larg 1.22m - Ep.14.3mm - coupe;6.990000;2;PLARLX;150.060000;0.460000;NULL;NULL
NT415BY612290;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - 0.61x22.90m - Ep.14.3mm;3.490000;2;PLARLX;58.700000;0.460000;NULL;NULL
NT415BY612290COUP;NT415 ROULEAU ANTIFATIGUE NOIR/JAUNE - Larg 0.61m - Ep.14.3mm - coupe;3.490000;2;PLARLX;76.300000;0.460000;NULL;NULL
