REF;DESIGN;POIDS;UNITE;CATEGORIE;PRIX;ECOTAXE;NOTE;SCORE;IMAGE;URL
BLA5;C/C BLACK STAR ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;ACCESSOIRE;365.360000;0.300000;A;https://sevetys.fr/_next/image/?url=https%3A%2F%2Fcharming-angel-5ca83bf286.media.strapiapp.com%2FChat_europeen_573af6e71d.webp&w=1920&q=75
CLEANFOR11518002;CLEANFOR ANTHRACITE AVEC BORDURES SEMELLE LISSE - 115x180cm;5.120000;1;TEXTTAPIS;187.910000;0.460000;NULL;NULL
CLEANFOR11518010;CLEANFOR MARRON AVEC BORDURES SEMELLE LISSE - 115x180cm;5.120000;1;TEXTTAPIS;187.910000;0.460000;NULL;NULL
CLEANFOR11524002;CLEANFOR ANTHRACITE AVEC BORDURES SEMELLE LISSE - 115x240cm;7.180000;1;TEXTTAPIS;250.550000;0.460000;0.000000;
CLEANFOR11524010;CLEANFOR MARRON AVEC BORDURES SEMELLE LISSE - 115x240cm ;7.180000;1;TEXTTAPIS;250.550000;0.460000;NULL;NULL
MIRANDE406020;MIRANDE NOIR - 40x60cm - Ep.9mm;0.660000;1;TEXTTAPIS;10.780000;0.070000;NULL;NULL
COMBIMAT4060;COMBIMAT COCO-METAL+PICOTS - 40x60cm - Ep.23mm;2.460000;1;COCOTAPIS;18.930000;0.190000;NULL;NULL
NT78691;NT786 ROULEAU ANTISTATIQUE & ANTIFATIGUE NOIR 0.91x22.90m - Ep.14.3mm;5.320000;2;PLARLX;137.310000;0.460000;NULL;NULL
IDSRAMP240;IDSRAMP ROULEAU - Insertion Textile - 2.40x30m - Ep.19mm;13.200000;3;CCRLX;60.570000;0.300000;0.000000;
DCUIS50120CUISINE;DECOR CUISINE CUISINE NOIR/GRIS - 50x120cm -Ep.4mm;0.737000;1;TEXTTAPIS;15.120000;0.070000;NULL;NULL
QUERCY609002;QUERCY GRIS - 60x90cm - Ep.8mm;1.580000;1;TEXTTAPIS;16.580000;0.190000;NULL;NULL
QUERCY609010;QUERCY BRUN - 60x90cm - Ep.8mm;1.580000;1;TEXTTAPIS;16.580000;0.190000;NULL;NULL
QUERCY9015002;QUERCY GRIS - 90x150cm - Ep.8mm;4.060000;1;TEXTTAPIS;41.410000;0.460000;NULL;NULL
QUERCY9015004;QUERCY ROUGE - 90x150cm - Ep.8mm;4.060000;1;TEXTTAPIS;41.410000;0.460000;NULL;NULL
QUERCY9015010;QUERCY BRUN - 90x150cm - Ep.8mm;4.060000;1;TEXTTAPIS;41.410000;0.460000;NULL;NULL
QUERCY12018002;QUERCY GRIS - 120x180cm - Ep.8mm;6.620000;1;TEXTTAPIS;66.280000;0.460000;0.000000;
QUERCY12018010;QUERCY BRUN - 120x180cm - Ep.8mm;6.620000;1;TEXTTAPIS;66.280000;0.460000;NULL;NULL
BELLAC609002;BELLAC GRIS - 60x90cm - Ep.8mm;1.620000;1;TEXTTAPIS;25.210000;0.190000;NULL;NULL
BELLAC609010;BELLAC BRUN - 60x90cm - Ep.8mm;1.620000;1;TEXTTAPIS;25.210000;0.190000;NULL;NULL
BELLAC9015002;BELLAC GRIS - 90x150cm - Ep.8mm;4.200000;1;TEXTTAPIS;60.120000;0.460000;NULL;NULL
BELLAC12018002;BELLAC GRIS - 120x180cm - Ep.8mm;6.180000;1;TEXTTAPIS;96.190000;0.460000;NULL;NULL
LOGO75;TAPIS LOGO 75 cm LARGEUR STANDARD ép.10 mm AVEC BORDURES;2.500000;3;LOGO;184.840000;0.410000;NULL;NULL
CAHORS12024002;CAHORS GRIS - 120x240cm - Ep.6.5mm;6.540000;1;TEXTTAPIS;68.880000;0.460000;NULL;NULL
FLEXI5BA;IDEX ANGLES BLEU - 59.2x7.8cm - Ep.5mm (lot de 4 angles);1.060000;16;PLAACCESS;21.530000;0.036000;NULL;NULL
THIBAUDE5;SOUS COUCHE ROULEAU THIBAUDE - 2.08x64m - Ep.5mm;4.250000;3;CCRLX;16.180000;0.300000;NULL;NULL
LOGOTXJETPRINT;Tapis réalisé en Jet Print;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXCOULEURFOND;Couleur du fond du tapis logo : ;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXCOULEURLOGO;Couleurs du logo :;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXFORMATPORTRA;Impression en format PORTRAIT;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXFORMATPAYSAG;Impression en format PAYSAGE;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXLABELIDSAVEC;Avec label IDS;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT2;Tapis réalisé en JET PRINT 20 coloris à choisir parmi notre nuancier;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT3;Tapis logo siglé :;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT4;Position du logo / texte;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT5;Impression au format : PAYSAGE ou PORTRAIT - à définir;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT5_PORTRAIT;Impression au format PORTRAIT;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT5_PAYSAGE;Impression au format PAYSAGE;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT6;Couleur de fond du tapis logo : ;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT7;Couleur(s) du logo : ;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
LOGOTXT8;Type de semelle : LISSE (sols durs) ou A PICOTS (moquettes) à définir;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
DECOR4060CATALAN;DECOREGION CATALAN 40*60 cm;0.650000;1;PRODUCTION;0.000000;0.070000;NULL;NULL
CAHORS12024010;CAHORS BRUN - 120x240cm - Ep.6.5mm;6.540000;1;TEXTTAPIS;68.880000;0.460000;NULL;NULL
SOFTSTEPNRL02;SOFT STEP ROULEAU NEW GRIS CLAIR - 0.60x16m - Ep.9mm - au ml;1.320000;2;PLARLX;28.600000;0.057000;NULL;NULL
SOFTSTEPNRL02COUP;SOFT STEP ROULEAU NEW GRIS CLAIR Larg.0.60m - Ep.9mm - à la coupe/ml;1.320000;2;PLARLX;28.600000;0.057000;NULL;NULL
SOFTSTEPNRL08;SOFT STEP ROULEAU NEW BLEU - 0.60x16m - Ep.9mm - au ml;1.320000;2;PLARLX;28.600000;0.057000;0.000000;
SOFTSTEPNRL08COUP;SOFT STEP ROULEAU NEW BLEU Larg 0.60m - Ep.9mm - à la coupe/ml;1.320000;2;PLARLX;28.600000;0.057000;NULL;NULL
COMBIX16;COMBIX DALLE GRISE - 39x13 cm - Ep.16mm ;0.520000;1;PLATAPIS;12.650000;0.036000;NULL;NULL
INTEGRIX1602;INTEGRIX DALLE GRIS ANTHRACITE - 39x13cm - Ep.16mm (1m²=20 dalles);0.700000;1;PLATAPIS;17.430000;0.057000;0.000000;
CCN2FL4;CAOUTCHOUC ROULEAU 2 FACES LISSES NITRILE NOIR 1.40x10m - Ep.4mm;5.800000;3;CCRLX;59.310000;0.190000;NULL;NULL
CCO1FL1FIT2P4;CAOUTCHOUC ROULEAU FACE LISSE + IMP.TOILE 2 Plis -1.4x10m-Ep.4mm;6.400000;3;CCRLX;33.740000;0.190000;NULL;NULL
EHA950+11LG+/-10;EHA 950+11 ROULEAU NOIR - Larg. standard - Long.<30m - Ep.15mm;8.000000;3;PLARLX;148.600000;0.120000;NULL;NULL
ASTROCLASSIC406007;ASTROTURF CLASSIC VERT - 40x60cm - Ep.19mm;0.560000;1;TEXTTAPIS;10.900000;0.070000;NULL;NULL
IDSSTOP120;IDS STOP - 1200x150mm - Ep.20mm;11.500000;1;CCACCESS;45.790000;0.018000;NULL;NULL
CLIPSOFTSTEPN30;CLIP SOFT STEP NEW TRANSPARENT;0.001000;1;PLAACCESS;0.560000;0.036000;NULL;NULL
MOISSACRL13005;MOISSAC ROULEAU BLEU MOUCHETE - 1.30x20ml - Ep.9mm - au m² ;3.580000;3;TEXTRLX;93.180000;0.410000;NULL;NULL
NT78691COUP;NT786 ROULEAU ANTISTATIQUE & ANTIF NOIR Larg0.91m - Ep.14.3mm - coupe;6.200000;2;PLARLX;178.510000;0.460000;NULL;NULL
COCORLN1P17MMHP04;COCO ROULEAU NATUREL/PV ROUGE HIGH PERFORM - 1x12m - Ep.17mm - au ml;7.000000;2;COCORLX;47.440000;0.460000;NULL;NULL
NEWYORK4060;TAPIS LOGO NEW YORK 40x60 cm ép.7 mm;0.700000;1;LOGO;12.220000;0.070000;NULL;NULL
IDS10T180;IDS10 ROULEAU TOILE - 1.80x50m - Ep.10mm;14.000000;3;CCRLX;68.670000;0.300000;NULL;NULL
IDS10T240;IDS10 ROULEAU TOILE - 2.40x50m - Ep.10mm ;14.000000;3;CCRLX;68.670000;0.300000;NULL;NULL
IDS20TOILEP240COUP;IDS20 ROULEAU TOILE PLOTS - Largeur 2.40m - Ep.20mm - à la coupe;17.000000;3;CCRLX;85.800000;0.300000;NULL;NULL
NEWYORK90150;TAPIS LOGO NEW YORK 90x150 cm ép.7 mm;3.940000;1;LOGO;59.890000;0.460000;NULL;NULL
QUIETAROULEAU175;QUIETA ROULEAU P200 - 1.75x30m - Ep.30mm;18.500000;3;CCRLX;97.660000;0.300000;NULL;NULL
QUIETAROULEAU180;QUIETA ROULEAU P200 - 1.80x30m - Ep.30mm;18.500000;3;CCRLX;97.660000;0.300000;NULL;NULL
PROMOCLEAN4060PAN;PROMOCLEAN - 40x60cm - modèles panachés;0.780000;1;TEXTTAPIS;3.940000;0.070000;NULL;NULL
CAHORS12018005;CAHORS BLEU - 120x180cm - Ep.6.5mm;4.980000;1;TEXTTAPIS;51.640000;0.460000;NULL;NULL
CAHORS12018010;CAHORS BRUN - 120x180cm - Ep.6.5mm;4.980000;1;TEXTTAPIS;51.640000;0.460000;NULL;NULL
PICOTSCT5503406007;PICOTS MIX CT5503 TAPIS CAOUTCHOUC - 40x60cm - Ep.7mm;0.920000;1;CCTAPIS;5.060000;0.070000;NULL;NULL
SOLIDSPORT9MM100GC;SOLID SPORT DALLE MOUCHETE GRIS CLAIR HE13 - 100x100cm - Ep.9mm;12.060000;1;CCDAL;0.000000;0.018000;NULL;NULL
MOISSACRL20004;MOISSAC ROULEAU ROUGE MOUCHETE -2x25m - Ep.9mm - au m² ;3.580000;3;TEXTRLX;93.180000;0.410000;NULL;NULL
ASTROCLAS406007B20;ASTROTURF CLASSIC VERT - 40x60cm - Ep.19mm - BOX de 20P;0.560000;1;TEXTTAPIS;10.900000;0.070000;NULL;NULL
ASTROCLAS406007B50;ASTROTURF CLASSIC VERT - 40x60cm - Ep.19mm - BOX de 50P;0.560000;1;TEXTTAPIS;10.900000;0.070000;NULL;NULL
LOGO150X200;TAPIS LOGO STANDARD 150x200cm ép.10 mm AVEC BORDURES (soit 3 m²);2.500000;3;LOGO;184.840000;0.410000;NULL;NULL
PROTECTOR;PROTECTION D'ANGLE CAOUTCHOUC hauteur 90 cm;2.750000;1;CCACCESS;16.010000;0.018000;NULL;NULL
PROFILTQUIETA;PROFIL EN T POUR QUIETA longueur 1850 mm P200 (2022);6.500000;1;CCACCESS;62.920000;0.018000;NULL;NULL
PROFILTQUIETA+;PROFIL EN T POUR QUIETA + longueur 1850 mm;8.000000;1;CCACCESS;66.710000;0.018000;NULL;NULL
SOLIDSPORT9MM100R;SOLID SPORT DALLE MOUCHETE ROUGE HE30 - 100x100cm - Ep.9mm ;12.060000;1;CCDAL;0.000000;0.018000;NULL;NULL
SOLIDSPORT9MM100BL;SOLID SPORT DALLE MOUCHETE BLEU HE114 100x100 cm ép.9 mm;12.060000;1;CCDAL;0.000000;0.018000;NULL;NULL
CAHORS12024005;CAHORS BLEU - 120x240cm - Ep.6.5mm;6.540000;1;TEXTTAPIS;68.880000;0.460000;NULL;NULL
SOLIDSPORT9MM100GF;SOLID SPORT DALLE MOUCHETE GRIS FONCE HE32 - 100x100cm - Ep.9mm ;12.060000;1;CCDAL;0.000000;0.018000;NULL;NULL
SPORTNEIGE6GN;SPORTNEIGE EFL ROULEAU GRIS CLAIR/NOIR - 1.50x20m - Ep.6mm;7.430000;3;CCRLX;41.830000;0.300000;NULL;NULL
SPORTNEIGE10GN;SPORTNEIGE EFL ROULEAU GRIS CLAIR/NOIR - 1.50x12m - Ep.10mm;10.660000;3;CCRLX;66.460000;0.300000;NULL;NULL
IDNEIGE6BN;IDNEIGE EFL ROULEAU - BLEU/NOIR - 1.50x20m - Ep.6mm;6.300000;3;CCRLX;33.370000;0.300000;NULL;NULL
IDNEIGE10BN;IDNEIGE EFL ROULEAU - BLEU/NOIR - 1.50x12m - Ep.10mm;10.500000;3;CCRLX;55.660000;0.300000;NULL;NULL
SPORTNEIGE10BN;SPORTNEIGE EFL ROULEAU BLEU/NOIR - 1.50x12m - Ep.10mm;10.500000;3;CCRLX;66.460000;0.300000;NULL;NULL
SOLIDOTEMP406020;SOLIDO NOIR moucheté GRIS - 40x60cm - Ep.14mm;1.000000;1;TEXTTAPIS;23.600000;0.190000;NULL;NULL
M6080BB;M6080BB CAILLEBOT. BORDS BISEAUTES NOIR-60x80cm-Ep.13mm;2.360000;1;CCTAPIS;18.730000;0.018000;NULL;NULL
VENISE0673001;VENISE ROULEAU BEIGE HIGH larg 0.67m (long +/-30m) - au ml;0.932000;2;TEXTRLX;20.000000;0.070000;0.000000;
MR12COUPE;MR12 ROULEAU CAILLEBOTIS NOIR - Larg 0.91m ou 1.83 m - à la coupe;8.810000;3;CCRLX;59.410000;0.300000;NULL;NULL
PICOTSGRAT4060;PICOTS GRAT' TAPIS CAOUTCHOUC - 40x60cm - Ep.5.5mm;0.920000;1;CCTAPIS;6.960000;0.070000;NULL;NULL
SOLIDSPORT9MMBL_SC;SOLID SPORT DALLE MOUCHETE BLEU - 100x100cm - Ep.9mm ANCIEN;11.350000;1;CCDAL;0.000000;0.018000;NULL;NULL
SOLIDSPORT9MMR_SC;SOLID SPORT DALLE MOUCHETE ROUGE - 100x100cm - Ep.9mm ANCIEN ;11.350000;1;CCDAL;0.000000;0.018000;NULL;NULL
FLEXI5RA;IDEX ANGLES ROUGE - 59.2x7.8cm - Ep.5mm (lot de 4 angles);1.060000;16;PLAACCESS;21.530000;0.036000;NULL;NULL
FIGEACRL2052502;FIGEAC ROULEAU GRIS - 2.05x25m - Ep.8mm - au m²;3.370000;3;TEXTRLX;42.870000;0.410000;NULL;NULL
LOGOSURMESAVBFCMT;TAPIS LOGO SUR MESURE AVEC BORDURES / FCMT;0.000000;3;LOGO;0.000000;0.410000;NULL;NULL
NT44791COUP;NT447 ROULEAU SPECIAL SOUDURE NOIR - Larg 0.91m - Ep.12.7mm - coupe;3.750000;2;CCRLX;253.020000;0.460000;NULL;NULL
LOGOMAQUETTEEXIST;MAQUETTE TAPIS LOGO EXISTANTE;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
DALLEANTIVIB101010;DALLE ANTI-VIBRATOIRE NOIRE - 100x100mm - Ep.10mm - LOT 4;0.360000;16;CCDAL;5.640000;0.070000;NULL;NULL
M213;M213 TAPIS D'ETABLE CLASSIQUE - 1250X2000mm - Ep.17mm;55.100000;1;CCTAPIS;197.240000;0.018000;NULL;NULL
M214;M214 TAPIS D'ETABLE CLASSIQUE - 1250X2200mm - Ep.17mm;60.610000;1;CCTAPIS;216.950000;0.018000;NULL;NULL
SPORTNEIGE4GN;SPORTNEIGE EFL ROULEAU GRIS CLAIR/NOIR - 1.50x30m - Ep.4mm;4.200000;3;CCRLX;31.480000;0.300000;NULL;NULL
EHA95059LG+/-10M;EHA 950 ROULEAU MARQUAGE JAUNE -Larg. stand - Long.+/-10m - Ep.12.5mm;6.000000;3;PLARLX;155.350000;0.120000;NULL;NULL
EHARAC;RACCORD POUR EHA 950, EHA950+11, EHA 93, EHA96;0.030000;1;PLAACCESS;1.870000;0.036000;NULL;NULL
EHA950BJL;EHA950 BORD GRAND COTE NOIR/JAUNE ;0.400000;2;PLAACCESS;27.560000;0.036000;NULL;NULL
EHA950BNL;EHA950 BORD GRAND COTE NOIR;0.400000;2;PLAACCESS;24.590000;0.036000;NULL;NULL
IDS10T150;IDS10 ROULEAU TOILE - 1.50x50m - Ep.10mm;14.000000;3;CCRLX;68.670000;0.300000;NULL;NULL
IDS10T160;IDS10 ROULEAU TOILE - 1.60x50m - Ep.10mm;14.000000;3;CCRLX;68.670000;0.300000;NULL;NULL
ALDICUBA4575L8A;TAPIS COCO 1/2 LUNE 45x75cm Ep.8mm - lot de 8;1.000000;1;COCOTAPIS;0.000000;0.000000;NULL;NULL
BRAY45GRIPM;BRAY45 RAMPE JAUNE GRIP MALE - PR MB45/MB46 GRIP - 91x6.5cm;1.440000;1;CCACCESS;26.570000;0.018000;NULL;NULL
BRAY45GRIPF;BRAY45 RAMPE JAUNE GRIP FEMELLE - PR MB45/MB46 GRIP - 91x6.5cm;1.060000;1;CCACCESS;26.570000;0.018000;NULL;NULL
IDS12T150;IDS12 ROULEAU TOILE - Largeur 1.50 m - Ep.12mm;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
IDS12T160;IDS12 ROULEAU TOILE - Largeur 1.60 m - Ep.12mm;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
IDS12T180;IDS12 ROULEAU TOILE - Largeur 1.80 m - Ep.12mm;14.400000;3;CCRLX;78.010000;0.300000;NULL;NULL
IDS16T200;IDS16 ROULEAU TOILE - Largeur 2.00m - Ep.16mm;19.500000;3;CCRLX;95.300000;0.300000;NULL;NULL
IDS16T180;IDS16 ROULEAU TOILE - Largeur 1.80m - Ep.16mm;19.500000;3;CCRLX;95.300000;0.300000;NULL;NULL
FIGEACRL1202502;FIGEAC ROULEAU GRIS - 1.20x25m - Ep.8mm - au m²;3.370000;3;TEXTRLX;48.630000;0.410000;NULL;NULL
M38/4COUPE;M38 TAPIS ISOLANT ELECTRIQUE CLASSE 3 GRIS - Ep.4.5mm - à la coupe;6.900000;3;CCRLX;84.860000;0.190000;NULL;NULL
M38/6.5COUPE;M38 TAPIS ISOLANT ELECTRIQUE CLASSE 4 GRIS - Ep.6.5mm - à la coupe;9.950000;3;CCRLX;137.190000;0.190000;NULL;NULL
IDS12T200;IDS12 ROULEAU TOILE - Largeur 2.00 m - Ep.12mm;14.400000;3;CCRLX;78.010000;0.300000;NULL;NULL
BRAY45N;BRAY45 RAMPE JAUNE - 91x6.5cm;1.020000;1;CCACCESS;19.210000;0.018000;0.000000;
SPORTNEIGE6RN;SPORTNEIGE EFL ROULEAU ROUGE/NOIR - 1.50x20m - Ep.6mm;7.430000;3;CCRLX;41.830000;0.300000;NULL;NULL
IDS16TS/MESURE-160;IDS16 ROULEAU TOILE sur mesure <1.60 m Ep.16mm;19.500000;3;CCRLX;86.350000;0.300000;NULL;NULL
IDS16TS/MESURE+160;IDS16 ROULEAU TOILE sur mesure >1.60 m Ep.16mm;19.500000;3;CCRLX;95.300000;0.300000;NULL;NULL
QUIETAROULEAU185;QUIETA ROULEAU P200 - 1.85x30m - Ep.30mm;18.500000;3;CCRLX;97.660000;0.300000;NULL;NULL
BRA45GRIPF;BRA45 RAMPE NOIR NITRILE GRIP FEMELLE - PR MB45/MB46 GRIP - 91x6.5cm;1.000000;1;CCACCESS;25.060000;0.018000;NULL;NULL
BRA45GRIPM;BRA45 RAMPE NOIR NITRILE GRIP MALE - PR MB45/MB46 GRIP - 91x6.5cm;1.000000;1;CCACCESS;25.060000;0.018000;NULL;NULL
APTADECOMAT4060L6B;APTA DECOMAT 40x60cm - lot de 6 (3dessins) - Cintre+PLV;0.530000;1;TEXTTAPIS;0.000000;0.000000;NULL;NULL
NUANCIER24CID;NUANCIER 24 COULEURS POUR CHROMOJET;0.000000;1;LOGO;0.000000;0.000000;NULL;NULL
CLIPSUPER;CLIP SUPER DALLE CONNECTABLE - NOIR - 100x100cm - Ep.18mm;21.000000;1;CCDAL;81.860000;0.380000;0.000000;
IDS16T150;IDS16 ROULEAU TOILE - Largeur 1.50m - Ep.16mm;19.500000;3;CCRLX;86.350000;0.300000;NULL;NULL
IDS16T160;IDS16 ROULEAU TOILE - Largeur 1.60m - Ep.16mm;19.500000;3;CCRLX;86.350000;0.300000;NULL;NULL
IDS12TS/MESURE+160;IDS12 ROULEAU TOILE sur mesure >1.60 m Ep.12mm;14.400000;3;CCRLX;78.010000;0.300000;NULL;NULL
PAST100N3;PASTILLE DFL-S1 ROULEAU NOIR - 1x10m - Ep.3mm;4.000000;3;CCRLX;27.620000;0.300000;NULL;NULL
COCORLN1P17MM6M;COCO ROULEAU NATUREL/LATEX - 1x6m - Ep.17mm - au ml;6.660000;2;COCORLX;40.350000;0.460000;NULL;NULL
IDS12T160COUP;IDS12 ROULEAU TOILE - Largeur 1.60m - Ep.12mm - à la coupe;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
IDS12T150COUP;IDS12 ROULEAU TOILE - Largeur 1.50 m - Ep.12mm - à la coupe;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
IDS12T180COUP;IDS12 ROULEAU TOILE - Largeur 1.80 m - Ep.12mm - à la coupe;14.400000;3;CCRLX;78.010000;0.300000;NULL;NULL
IDS12T200COUP;IDS12 ROULEAU TOILE - Largeur 2.00 m - Ep.12mm - à la coupe;14.400000;3;CCRLX;78.010000;0.300000;NULL;NULL
IDS16T150COUP;IDS16 ROULEAU TOILE - Largeur 1.50m - Ep.16mm - à la coupe;19.500000;3;CCRLX;86.350000;0.300000;NULL;NULL
IDS16T160COUP;IDS16 ROULEAU TOILE - Largeur 1.60m - Ep.16mm - à la coupe;19.500000;3;CCRLX;86.350000;0.300000;NULL;NULL
IDS16T180COUP;IDS16 ROULEAU TOILE - Largeur 1.80m - Ep.16mm - à la coupe;19.500000;3;CCRLX;95.300000;0.300000;NULL;NULL
IDS16T200COUP;IDS16 ROULEAU TOILE - Largeur 2.00m - Ep.16mm - à la coupe;19.500000;3;CCRLX;95.300000;0.300000;NULL;NULL
BLACKSTART10;C/C BLACK STAR ROULEAU TOILE - 1.40x10m - Ep.10mm;11.600000;3;CCRLX;220.130000;0.300000;NULL;NULL
BRA45PRN;BRA45 RAMPE ROUGE NITRILE - 91x6.5cm;1.040000;1;CCACCESS;17.270000;0.018000;NULL;NULL
IDS12T100;IDS12 ROULEAU TOILE - Largeur 1m - Ep.12mm;14.400000;3;CCRLX;71.430000;0.300000;0.000000;
IDS12T120;IDS12 ROULEAU TOILE - Largeur 1.20 m - Ep.12mm;14.400000;3;CCRLX;71.430000;0.300000;0.000000;
IDS12TS/MESURE-160;IDS12 ROULEAU TOILE sur mesure <1.60 m Ep.12mm;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
IDS12T120COUP;IDS12 ROULEAU TOILE - Largeur 1.20 m - Ep.12mm - à la coupe;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
QUERCY406002;QUERCY GRIS - 40x60cm - Ep.8mm;0.660000;1;TEXTTAPIS;7.360000;0.070000;NULL;NULL
QUERCY12024002;QUERCY GRIS - 120x240cm - Ep.8mm;8.840000;1;TEXTTAPIS;88.060000;0.460000;NULL;NULL
M69PLUS;M69PLUS CAILLEBOTIS - 100x150cm - Ep.23mm;18.500000;1;CCTAPIS;116.840000;0.018000;NULL;NULL
M69PLUS-BFL;M69PLUS BFL-S1 CAILLEBOTIS - 100x150cm - Ep.23mm;21.000000;1;CCTAPIS;192.440000;0.057000;NULL;NULL
FLEXI5BDPC;IDEX DALLE BLEU DURE PASTILLE CENTRE - 50.1x50.1cm - Ep.5mm;7.280000;3;PLADALLES;77.010000;0.120000;NULL;NULL
BRA45N;BRA45 RAMPE NOIR - 91x6.5cm;0.920000;1;CCACCESS;13.120000;0.018000;NULL;NULL
IDS12T100COUP;IDS12 ROULEAU TOILE - Largeur 1m - Ep.12mm - à la coupe;14.400000;3;CCRLX;71.430000;0.300000;NULL;NULL
81104;8110 ROULEAU CAOUTCHOUC RECYCLE NOIR - 1.50x30m - Ep.4mm;4.200000;3;CCRLX;21.900000;0.300000;NULL;NULL
GREENSPRINGRL13007;GAZON SANS PLOTS ROULEAU GREEN SPRING VERT -1x30m-Ep.7mm;1.200000;3;TEXTRLX;14.300000;0.090000;NULL;NULL
M69CFL;M69 CFL-S1 CAILLEBOTIS - 100x150cm - Ep.23mm ;16.500000;1;CCTAPIS;120.670000;0.018000;NULL;NULL
SMRL06515PARQUET02;SMARTY PARQUET GRIS RL 0,65*15 M - au ml;0.620000;2;SMARTY;8.150000;0.070000;NULL;NULL
CAHORS6012002;CAHORS GRIS - 60x120cm - Ep.6.5mm;1.640000;1;TEXTTAPIS;17.260000;0.190000;NULL;NULL
MR12BB120180;MR12 CAILLEBOTIS BORDS BISEAUTES NOIR - 120x180cm - Ep.10mm;18.340000;1;CCTAPIS;100.160000;0.018000;0.000000;
PANNEAUPVC3MM;PANNEAU PVC SOUPLE 1.00X20.00 M ép. 3 mm ;3.650000;2;PLAACCESS;30.230000;0.000000;NULL;NULL
NAP140OCTOBULICAFE;NAPPAGE OCTOBULLE 656-1 CAFE - 1,40x20ml;1.240000;2;NAPOCTOIMP;10.450000;0.190000;NULL;NULL
NAP140OCTOBULICOLO;NAPPAGE OCTOBULLE 724-1 COLOR - 1,40x20ml;1.240000;2;NAPOCTOIMP;10.450000;0.190000;NULL;NULL
NAP140OCTOBULIGEO;NAPPAGE OCTOBULLE 731-1 GEO - 1,40x20ml;1.240000;2;NAPOCTOIMP;11.080000;0.190000;NULL;NULL
NAP140OCTOBULIHORT;NAPPAGE OCTOBULLE C79-2 HORTENSIA - 1,40x20ml;1.240000;2;NAPOCTOIMP;10.450000;0.190000;NULL;NULL
NAP140OCTOBULIMA01;NAPPAGE OCTOBULLE 387-11 MARBRE BEIGE - 1,40x20ml;1.240000;2;NAPOCTOIMP;11.080000;0.190000;NULL;NULL
NAP140OCTOBULIMA16;NAPPAGE OCTOBULLE 387-4 MARBRE ORANGE-1,40x20ml;1.240000;2;NAPOCTOIMP;10.450000;0.190000;NULL;NULL
NAP140OCTOBULGLI02;NAPPAGE OCTOBULLE 100-25 GLITTER GRIS - 1,40x20ml;1.240000;2;NAPOCTOGLI;13.380000;0.190000;NULL;NULL
NAP140OCTOBULGLI04;NAPPAGE OCTOBULLE 100-28 GLITTER ROUGE - 1,40x20ml;1.240000;2;NAPOCTOGLI;13.380000;0.190000;NULL;NULL
NAP140OCTOBULGLI09;NAPPAGE OCTOBULLE 100-29 GLITTER ROSE - 1,40x20ml;1.240000;2;NAPOCTOGLI;13.380000;0.190000;NULL;NULL
NAP140OCTOBULGLI20;NAPPAGE OCTOBULLE 100-26 GLITTER NOIR - 1,40x20ml;1.240000;2;NAPOCTOGLI;13.380000;0.190000;NULL;NULL
NAP140OCTOBULGLI24;NAPPAGE OCTOBULLE 100-27 GLITTER VIOLET - 1,40x20ml;1.240000;2;NAPOCTOGLI;12.620000;0.190000;NULL;NULL
NAP140LUMIIDENTELL;NAPPAGE LUMI 706-3 DENTELLE MARGUERITE-1,40x30ml;0.298000;2;NAPLUCRIMP;3.170000;0.070000;NULL;NULL
NAP140LUMIIEPICES;NAPPAGE LUMI 728-1 EPICES - 1,40x30ml;0.298000;2;NAPLUCRIMP;3.170000;0.070000;NULL;NULL
NAP140LUMIGAUFGRAP;NAPPAGE LUMI 108 GAUFRE GRAPHIQUE - 1,40x30ml;0.298000;2;NAPLUCRGAU;3.560000;0.070000;NULL;NULL
